Number of Likes,Number of Replies,Tweet,timestamp_gmt7
1,0,"@mingimanki imo, the moment while they're in indonesia tuh waktu jogja line with the iconic ""mahal"" sama bets ujan ujanan😆 kejadiannya emang sebelum aku jdi carat tpi pas nonton ngerasa seadore dan secomfort itu mereka https://t.co/7gOUUubOCo",2024-11-19 15:25:45
2,0,"baru nyampe jogja melakukan agenda pertama dengan melamun dan merokok saat hujan rasanya😭😭😭😭😭 pengen nangis, soalnya ini adalah hal ternyaman dan tertenang yang pernah aku lakukan sejauh 23 th ini",2024-11-19 15:25:40
0,0,jogja ujan njirr sialan,2024-11-19 15:24:49
0,1,"@castleinz Aku di Jogja, kak 😭. Beberapa hari ini di sini emang sering hujan deres bangettt",2024-11-19 15:22:17
0,0,ini serius sampe jogja di kejutkan dengan hujan deras,2024-11-19 15:20:19
0,0,"RT @celoteh_paimin: terjebak derasnya hujan di kota jogja itu biasa, namun...
terjebak kenangan dengan orang di kota jogja itu pedihnya lua…",2024-11-19 15:16:46
0,0,alhamdulillah jogja kota hujan deras,2024-11-19 15:15:23
0,1,jogja ujan gusy. kaca jendelaku sampe berembun,2024-11-19 15:10:12
0,0,"PLSSS PENGEN CEPET2 KE HOTELL 
nunggu hujan reda di jogja lama jg yh :(",2024-11-19 15:08:27
0,0,"Jogja hujan deras tiap jam 12 keatas..
Apa kabar Bandung?",2024-11-19 15:06:13
0,0,Jogja ujan derassss,2024-11-19 15:06:01
0,0,"@tubathu Have nice holiday, sebagian jogja hujan hari ini\( ö )/",2024-11-19 15:03:43
0,0,@heibyyyyyy Jogja hujan deras si kak,2024-11-19 15:02:09
0,0,RT @Pasutri_new_69: jogja hbis hujan hawanya cocok bgt  buat bertanam💦💦💦 https://t.co/5zbOliy1Mq,2024-11-19 15:00:45
