Author ID,Date Created,Number of Likes,Number of Replies,Source of Tweet,Tweet
2882847108,2024-11-19 09:15:31+00:00,0,0,,"RT @fluffygirl1199: sehat-sehat ya semua, jogja lagi hujan terus tiati sakit flu, minum air putih banyak-banyak yaa🫶🏻✨"
3238303952,2024-11-19 09:14:53+00:00,0,0,,"RT @fluffygirl1199: sehat-sehat ya semua, jogja lagi hujan terus tiati sakit flu, minum air putih banyak-banyak yaa🫶🏻✨"
769090238316703744,2024-11-19 09:14:05+00:00,0,0,,"RT @fluffygirl1199: sehat-sehat ya semua, jogja lagi hujan terus tiati sakit flu, minum air putih banyak-banyak yaa🫶🏻✨"
1131363040991932422,2024-11-19 09:04:57+00:00,0,1,,"@xana_gremory jogja tiap sore hujan, udah jadwal"
236034762,2024-11-19 09:04:53+00:00,0,0,,"RT @fluffygirl1199: sehat-sehat ya semua, jogja lagi hujan terus tiati sakit flu, minum air putih banyak-banyak yaa🫶🏻✨"
340019122,2024-11-19 09:01:50+00:00,0,0,,"RT @fluffygirl1199: sehat-sehat ya semua, jogja lagi hujan terus tiati sakit flu, minum air putih banyak-banyak yaa🫶🏻✨"
279546767,2024-11-19 09:00:07+00:00,0,0,,"RT @fluffygirl1199: sehat-sehat ya semua, jogja lagi hujan terus tiati sakit flu, minum air putih banyak-banyak yaa🫶🏻✨"
1777242082551480320,2024-11-19 08:59:47+00:00,1,13,,"Seperti biasa pemirsa, kalau hujan di jogja artinya adalah mati lampu👍"
813237265883271168,2024-11-19 08:56:59+00:00,0,1,,@lanangology gua gajadi balik jogja perkara hujan ini anjing gua ancurin dunia KONTOOOL
249989140,2024-11-19 08:52:37+00:00,0,1,,@Luciflith Ini jogja hujan nya rata utara ke selatan
1582019891179446280,2024-11-19 08:52:10+00:00,0,0,,@merapi_uncover mingdep mau ke jogja... semoga hujan wkwk
1749990551758475265,2024-11-19 08:50:55+00:00,0,0,,"Haloo sobat BMKG Jogja,
Berikut informasi hujan 3 bulanan Daerah Istimewa Yogyakarta Update Bulan November 2024

#InfoIklim
#infobmkg
#InfoIklimJogja
#maripahamiiklim
#MariPeduliIklim
#infoanalisishujanbulana
#prediksihujanbulanan
#prediksihujan3bulanan"
1472586426768232449,2024-11-19 08:50:09+00:00,0,0,,"@zwitie_ Ayok, jogja mumpung musim hujan"
858844729076625408,2024-11-19 08:49:23+00:00,0,0,,"Tadi kan gw nrabas ujan deres dari mgl ke jogja, nah kan dah tau banjir harusnya pelan"" yah, eh ada mobil ngebut bgt kek sengaja bgt gitu nyemburin airnya ke mukakku, padahal keliatan bgt tu harusnya di spion kalo aku kena, 2 kali lagi dia nyemburin ke aku😓"
1636682648855937026,2024-11-19 08:47:30+00:00,10,0,,"sehat-sehat ya semua, jogja lagi hujan terus tiati sakit flu, minum air putih banyak-banyak yaa🫶🏻✨"
792866858,2024-11-19 08:44:52+00:00,0,0,,@merapi_uncover Habis hujan  di jogja = ruame macet parah https://t.co/M3pgFSB4MJ
1693131847231004675,2024-11-19 08:25:45+00:00,1,0,,"@mingimanki imo, the moment while they're in indonesia tuh waktu jogja line with the iconic ""mahal"" sama bets ujan ujanan😆 kejadiannya emang sebelum aku jdi carat tpi pas nonton ngerasa seadore dan secomfort itu mereka https://t.co/7gOUUubOCo"
1149561557006745600,2024-11-19 08:25:40+00:00,2,0,,"baru nyampe jogja melakukan agenda pertama dengan melamun dan merokok saat hujan rasanya😭😭😭😭😭 pengen nangis, soalnya ini adalah hal ternyaman dan tertenang yang pernah aku lakukan sejauh 23 th ini"
1505827485136863233,2024-11-19 08:24:49+00:00,0,0,,jogja ujan njirr sialan
1629028608936390656,2024-11-19 08:22:17+00:00,0,1,,"@castleinz Aku di Jogja, kak 😭. Beberapa hari ini di sini emang sering hujan deres bangettt"
1169638214795055106,2024-11-19 08:20:19+00:00,0,0,,ini serius sampe jogja di kejutkan dengan hujan deras
778041444841816065,2024-11-19 08:16:46+00:00,0,0,,"RT @celoteh_paimin: terjebak derasnya hujan di kota jogja itu biasa, namun...
terjebak kenangan dengan orang di kota jogja itu pedihnya lua…"
1061066238342778881,2024-11-19 08:15:23+00:00,0,0,,alhamdulillah jogja kota hujan deras
2753706269,2024-11-19 08:10:12+00:00,0,1,,jogja ujan gusy. kaca jendelaku sampe berembun
1737875402612424704,2024-11-19 08:08:27+00:00,0,0,,"PLSSS PENGEN CEPET2 KE HOTELL 
nunggu hujan reda di jogja lama jg yh :("
212990442,2024-11-19 08:06:13+00:00,0,0,,"Jogja hujan deras tiap jam 12 keatas..
Apa kabar Bandung?"
88578344,2024-11-19 08:06:01+00:00,0,0,,Jogja ujan derassss
1212235842510442497,2024-11-19 08:03:43+00:00,0,0,,"@tubathu Have nice holiday, sebagian jogja hujan hari ini\( ö )/"
859902793,2024-11-19 08:02:09+00:00,0,0,,@heibyyyyyy Jogja hujan deras si kak
1692736739797073920,2024-11-19 08:00:45+00:00,0,0,,RT @Pasutri_new_69: jogja hbis hujan hawanya cocok bgt  buat bertanam💦💦💦 https://t.co/5zbOliy1Mq
