datetime,temp,dew,humidity,precip,precipprob,preciptype,snowdepth,winddir,cloudcover,conditions
2024-11-18 16:00:00,29.5,21.7,62.92,0.0,0.0,,0,75.0,99.7,Overcast
2024-11-18 17:00:00,30.8,21.6,58.04,0.0,0.0,,0,77.9,97.8,Overcast
2024-11-18 18:00:00,31.9,21.6,54.52,0.1,100.0,rain,0,81.2,63.1,"Rain, Partially cloudy"
2024-11-18 19:00:00,32.8,21.4,51.19,0.0,0.0,,0,86.8,66.0,Partially cloudy
2024-11-18 20:00:00,33.5,20.8,47.43,0.2,100.0,rain,0,78.2,100.0,"Rain, Overcast"
2024-11-18 21:00:00,32.8,21.0,49.94,0.0,0.0,,0,99.3,100.0,Overcast
2024-11-18 22:00:00,29.8,22.1,63.37,1.3,100.0,rain,0,246.9,100.0,"Rain, Overcast"
2024-11-18 23:00:00,26.9,22.9,78.76,1.3,100.0,rain,0,262.1,91.7,"Rain, Overcast"
2024-11-19 00:00:00,27.0,23.2,79.73,1.4,100.0,rain,0,228.5,98.8,"Rain, Overcast"
2024-11-19 01:00:00,26.1,23.1,83.57,0.6,100.0,rain,0,232.0,97.5,"Rain, Overcast"
2024-11-19 02:00:00,25.8,23.0,84.56,0.6,100.0,rain,0,265.4,100.0,"Rain, Overcast"
2024-11-19 03:00:00,25.5,22.9,85.56,0.0,0.0,,0,271.6,100.0,Overcast
2024-11-19 04:00:00,24.7,22.8,89.19,2.6,100.0,rain,0,339.8,98.3,"Rain, Overcast"
2024-11-19 05:00:00,24.9,23.0,89.21,2.1,100.0,rain,0,47.7,100.0,"Rain, Overcast"
2024-11-19 06:00:00,24.5,23.0,91.36,0.8,100.0,rain,0,2.5,100.0,"Rain, Overcast"
2024-11-19 07:00:00,24.4,23.0,91.91,0.3,100.0,rain,0,308.2,100.0,"Rain, Overcast"
2024-11-19 08:00:00,24.1,22.6,91.34,0.1,100.0,rain,0,284.7,100.0,"Rain, Overcast"
2024-11-19 09:00:00,23.8,22.4,91.88,0.0,0.0,,0,294.3,100.0,Overcast
2024-11-19 10:00:00,23.5,22.1,91.86,0.8,100.0,rain,0,311.8,100.0,"Rain, Overcast"
2024-11-19 11:00:00,23.4,21.9,91.3,0.8,100.0,rain,0,321.4,100.0,"Rain, Overcast"
2024-11-19 12:00:00,23.4,21.7,90.19,0.4,100.0,rain,0,324.1,100.0,"Rain, Overcast"
2024-11-19 13:00:00,24.5,21.8,84.93,0.1,100.0,rain,0,287.2,100.0,"Rain, Overcast"
2024-11-19 14:00:00,25.9,22.3,80.56,0.1,100.0,rain,0,183.3,92.9,"Rain, Overcast"
2024-11-19 15:00:00,27.7,22.6,73.8,0.0,0.0,,0,170.3,32.6,Partially cloudy
2024-11-19 16:00:00,29.5,22.7,66.88,0.1,100.0,rain,0,201.7,59.9,"Rain, Partially cloudy"
2024-11-19 17:00:00,30.8,22.5,61.32,0.0,0.0,,0,221.7,100.0,Overcast
2024-11-19 18:00:00,31.1,22.6,60.64,0.8,100.0,rain,0,220.6,100.0,"Rain, Overcast"
2024-11-19 19:00:00,30.8,22.9,62.82,2.4,100.0,rain,0,226.6,100.0,"Rain, Overcast"
2024-11-19 20:00:00,30.1,23.2,66.59,3.1,100.0,rain,0,221.2,84.3,"Rain, Partially cloudy"
2024-11-19 21:00:00,29.7,23.3,68.55,1.9,100.0,rain,0,218.4,95.1,"Rain, Overcast"
2024-11-19 22:00:00,28.7,23.2,72.2,0.6,100.0,rain,0,219.7,100.0,"Rain, Overcast"
2024-11-19 23:00:00,27.7,23.1,76.07,0.5,100.0,rain,0,213.4,100.0,"Rain, Overcast"
2024-11-20 00:00:00,25.9,23.3,85.6,3.9,100.0,rain,0,180.2,100.0,"Rain, Overcast"
2024-11-20 01:00:00,25.2,23.5,90.31,4.9,100.0,rain,0,176.4,100.0,"Rain, Overcast"
2024-11-20 02:00:00,24.5,23.2,92.48,3.1,100.0,rain,0,58.0,100.0,"Rain, Overcast"
2024-11-20 03:00:00,24.2,23.2,94.16,2.3,93.5,rain,0,54.7,100.0,"Rain, Overcast"
2024-11-20 04:00:00,23.8,22.7,93.57,1.2,93.5,rain,0,46.7,100.0,"Rain, Overcast"
2024-11-20 05:00:00,23.0,21.3,90.16,1.4,93.5,rain,0,33.3,100.0,"Rain, Overcast"
2024-11-20 06:00:00,23.1,20.8,86.9,0.4,93.5,rain,0,56.8,100.0,"Rain, Overcast"
